model,degree,t2v_r1,t2v_r5,t2v_r10,t2v_medr,v2t_r1,v2t_r5,v2t_r10,v2t_medr,latency_ms,gpu_mb
ImageBind,N/A,38.70000243186951,63.600003719329834,72.80000448226929,3,30.300000309944153,53.300005197525024,64.10000324249268,4,0.22619560004386585,95.459375
PCME,N/A,38.80000114440918,63.30000162124634,73.80000352859497,2,37.10000216960907,62.00000047683716,72.50000238418579,3,3.466657999693394,128.484375
Poly,3,36.80000305175781,61.70000433921814,72.00000286102295,3,35.100001096725464,59.20000076293945,70.80000042915344,3,50.624800007045764,4119.34375
Poly,4,36.900001764297485,62.60000467300415,72.00000286102295,3,35.200002789497375,60.200005769729614,70.6000030040741,3,50.63940000604466,4119.34375
Poly,5,35.9000027179718,61.400002241134644,71.90000414848328,3,34.40000116825104,60.40000319480896,70.00000476837158,3,50.63080000691116,4119.34375
Poly,6,37.700000405311584,61.900001764297485,71.70000076293945,3,33.20000171661377,59.60000157356262,70.3000009059906,3,50.63940000440925,4119.34375
